openId,tag,wallMs,player,tabId,channel,packetClass,instanceCount,rawBytes,compressedBytes,thread,sinceOpenMs
445,P3_50000_1ch_A_r2,1788687449907,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3254.020
445,P3_50000_1ch_A_r2,1788687449910,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,72342,8384,pool-1783-thread-1,3257.063
445,P3_50000_1ch_A_r2,1788687449910,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3257.100
445,P3_50000_1ch_A_r2,1788687449913,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,77576,8938,pool-1783-thread-1,3260.334
445,P3_50000_1ch_A_r2,1788687449913,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3260.369
445,P3_50000_1ch_A_r2,1788687449916,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,72111,8358,pool-1783-thread-1,3263.382
445,P3_50000_1ch_A_r2,1788687449916,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3263.432
445,P3_50000_1ch_A_r2,1788687449920,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,78002,9117,pool-1783-thread-1,3266.608
445,P3_50000_1ch_A_r2,1788687449920,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3266.642
445,P3_50000_1ch_A_r2,1788687449923,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,82618,9506,pool-1783-thread-1,3269.949
445,P3_50000_1ch_A_r2,1788687449923,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3269.982
445,P3_50000_1ch_A_r2,1788687449926,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,81339,9520,pool-1783-thread-1,3273.366
445,P3_50000_1ch_A_r2,1788687449926,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3273.412
445,P3_50000_1ch_A_r2,1788687449930,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,78087,8912,pool-1783-thread-1,3276.686
445,P3_50000_1ch_A_r2,1788687449930,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientMaxQuantityPacket,0,52,38,pool-1783-thread-1,3276.722
445,P3_50000_1ch_A_r2,1788687449933,ClientDevBridge,minecraft:itemstack,0,TerminalStorageIngredientChangeEventPacket,512,80893,9265,pool-1783-thread-1,3280.101
